TYTUŁ,CENA,LINK,DATA
i7-6700hq GTX960 Gamingowy ddr4 laptop do gier csgo wot lenovo GEFORCE,2215,https://www.olx.pl//d/oferta/i7-6700hq-gtx960-gamingowy-ddr4-laptop-do-gier-csgo-wot-lenovo-geforce-CID99-IDSig2L.html,2023-03-12 01:09:13
"I7-6700HQ
8GB RAM
GTX 960 2GB
17 cali 
Ssd 128gb oraz 1TB hdd",1850,https://www.olx.pl//d/oferta/i7-6700hq8gb-ramgtx-960-2gb17-cali-ssd-128gb-oraz-1tb-hdd-CID99-IDSPtpW.html,2023-03-12 01:09:13
Laptop MSI GL726QC i7-6700HQ/16GB/HDD 1000+240 SSD M2/DVD/GF940MX/17'3,2000,https://www.olx.pl//d/oferta/laptop-msi-gl726qc-i7-6700hq-16gb-hdd-1000-240-ssd-m2-dvd-gf940mx-173-CID99-IDTfafc.html,2023-03-12 01:09:13
Laptop MSI Leopard Pro GP72 6QF i7-6700hq GTX 960M,1700,https://www.olx.pl//d/oferta/laptop-msi-leopard-pro-gp72-6qf-i7-6700hq-gtx-960m-CID99-IDRPVC9.html,2023-03-12 01:09:13
Laptop Lenovo Y700-15 i7-6700HQ/8GB/1000/Win10 GTX,1800,https://allegrolokalnie.pl/oferta/laptop-lenovo-y70015-i76700hq8gb1000win10-gtx,2023-03-12 01:09:13
Dell 7559 i7 6700HQ GTX960M 16GB RAM 500SSD+1TBHdd,1749,https://allegrolokalnie.pl/oferta/dell-7559-i7-6700hq-gtx960m-16gb-ram-500ssd-1tbhdd,2023-03-12 01:09:13
"Dell m 6600 i7 2,8 GHZ /12 DDR 3 NVIDIA QADRO3000M",1699,https://allegrolokalnie.pl/oferta/dell-m-6600-i7-28-ghz-12-ddr-3-nvidia-qadro3000m-6sx,2023-03-12 01:09:13
Laptop MSI GE62 Apache Pro i7-6700HQ GTX970M 16GB,2000,https://allegrolokalnie.pl/oferta/laptop-gamingowy-msi-ge62-apache-pro-icv,2023-03-12 01:09:13
HP 850 G3 i7-6600 2.60GHz SSD 500GB 16GB RAM,1350,https://allegrolokalnie.pl/oferta/hp-850-g3-i76600-260ghz-ssd-500gb-16gb-ram,2023-03-12 01:09:13
Laptop MSI PE60 6QE | i7-6700HQ | Nvidia GTX 960M,1699,https://allegrolokalnie.pl/oferta/laptop-msi-pe60-6qe-or-i76700hq-or-nvidia-gtx-960m-5z5,2023-03-12 01:09:13
Dell Precision M6700 i5-3340M/8GB/SSD240/Radeon,1299,https://allegrolokalnie.pl/oferta/dell-precision-m6700-i53340m8gbssd240radeon,2023-03-12 01:09:13
"Dell Inspiron 7559 i7-6700HQ 15,6 używany",2100,https://allegrolokalnie.pl/oferta/dell-inspiron-7559-i76700hq-156-uzywany,2023-03-12 01:09:13
"Lenovo Y700 17"" IPS i7-6700HQ 2.60GHz 32GB SSD HDD",3200,https://allegrolokalnie.pl/oferta/lenovo-y700-17-ips-i76700hq-260ghz-32gb-ssd-hdd,2023-03-12 01:09:13
Laptop Dell Latitude E7470 14’ i7-6600U 512NVMe 4G,1299,https://allegrolokalnie.pl/oferta/laptop-dell-latitude-e7470-14-i76600u-512nvme-4g,2023-03-12 01:09:13
Msi ge62 6qf 32gb ram intel i76700hq,2500,https://allegrolokalnie.pl/oferta/msi-ge62-6qf-32gb-ram-intel-i76700hq,2023-03-12 01:09:13
Lenovo Y700 i7 6700HQ GTX 960M 16GB RAM WIN 10,2050,https://allegrolokalnie.pl/oferta/lenovo-y700-i7-6700hq-gtx-960m-16gb-ram-win-10,2023-03-12 01:09:13
Alienware 15 R2 i7-6700HQ 16GB 1500GB GTX970M W10P,3599,https://allegrolokalnie.pl/oferta/alienware-15-r2-i76700hq-16gb-1500gb-gtx970m-w10p,2023-03-12 01:09:13
MSI Gl62 I7 6700h 16GBRam FullHd GTX 2gb Wysyłam O,1498,https://allegrolokalnie.pl/oferta/msi-gl62-i7-6700h-16gbram-fullhd-gtx-2gb-wysylam-o,2023-03-12 01:09:13
"Dell Precision M6800 17,3"" i7 16 GB 2xSSD+1xHDD",2099,https://allegrolokalnie.pl/oferta/dell-precision-m6800-173-i7-16-gb-2xssd-1xhdd,2023-03-12 01:09:13
laptop lenovo ideapad 700-17isk gtx950m i7-6700 8g,3800,https://allegrolokalnie.pl/oferta/laptop-lenovo-ideapad-70017isk-gtx950m-i76700-8g,2023-03-12 01:09:13
NoteBook ASUS ROG G752VT-T7008T i7-6700HQ/16GB/1TB,1995,https://allegrolokalnie.pl/oferta/notebook-asus-rog-g752vtt7008t-i76700hq16gb1tb-jas,2023-03-12 01:09:13
"Lenovo ThinkPad T560 15,6"" i7-6600U 16GB 512GB",1599,https://allegro.pl/oferta/lenovo-thinkpad-t560-15-6-i7-6600u-16gb-512gb-13395308363,2023-03-12 01:09:13
"Lenovo ThinkPad T560 15,6"" i7-6600U 8GB 256GB",1499,https://allegro.pl/oferta/lenovo-thinkpad-t560-15-6-i7-6600u-8gb-256gb-13391181780,2023-03-12 01:09:13
